long,lat,count
-73.9876,40.7214,384
-73.9890,40.7743,384
-74.0076,40.7409,384
-73.9499,40.7760,383
-73.9539,40.7788,383
-73.871,40.7742,382
-73.9752,40.7652,382
-73.9892,40.7479,382
-73.9910,40.7658,382
-73.9914,40.7488,382
-73.994,40.7502,382
-73.9539,40.7669,381
-73.9673,40.7633,381
-73.9715,40.7819,381
-73.9834,40.7343,381
-74.0171,40.7053,381
-73.9885,40.7690,380
-74.0050,40.7410,380
-73.9810,40.7339,379
-73.9890,40.7481,379
-74.0048,40.7407,379
-74.0062,40.7331,379
-74.0099,40.7213,379
-73.9542,40.7789,378
-73.9747,40.7420,378
-74.0017,40.7556,378
-74.0039,40.7476,378
-74.0047,40.7417,378
-74.0050,40.7411,378
-74.0099,40.7214,378
-73.9791,40.7500,377
-73.9862,40.7305,377
-73.9888,40.7413,377
-73.9922,40.7490,377
-73.9959,40.7591,377
-74.0099,40.7215,377
-73.8714,40.7743,376
-73.9977,40.7292,376
-74.0015,40.7359,376
-73.8708,40.7741,375
-73.9561,40.7845,375
-73.9955,40.7493,375
-73.9957,40.7591,375
-74.004,40.7424,375
-73.9565,40.7629,374
-73.9716,40.7820,374
-73.9828,40.7228,374
-73.9875,40.7286,374
-73.9910,40.7487,374
-73.9914,40.7490,374
-74.0041,40.7334,374
-73.9540,40.7786,373
-73.9638,40.8078,373
-73.9892,40.7218,373
-73.9893,40.7479,373
-73.991,40.7505,373
-73.9915,40.7272,373
-73.9920,40.7490,373
-73.9975,40.7564,373
-74.0135,40.7154,373
-73.9533,40.7884,372
-73.9819,40.7737,372
-73.9823,40.7713,372
-73.9878,40.7283,372
-73.9905,40.7513,372
-74.0026,40.7338,372
-74.0059,40.7331,372
-73.9522,40.7729,371
-73.9875,40.7287,371
-73.9907,40.7505,371
-73.991,40.7498,371
-73.9944,40.7507,371
-74.0025,40.7607,371
-73.9595,40.7711,370
-73.9611,40.8066,370
-73.9679,40.7625,370
-74.0028,40.7495,370
-73.9480,40.7786,369
-73.9892,40.7477,369
-73.9987,40.7340,369
-74.0017,40.7616,369
-73.8723,40.7743,368
-73.9903,40.751,368
-73.9926,40.7428,368
-74.0054,40.7400,368
-74.0061,40.7398,368
-74.0172,40.7053,368
-73.9821,40.7319,367
-73.9825,40.7723,367
-73.9869,40.7210,367
-73.9914,40.750,367
-74.0009,40.7463,367
-74.0014,40.7359,367
-73.9527,40.7722,366
-73.9538,40.7877,366
-73.9540,40.7788,366
-73.9601,40.7703,366
-73.9779,40.7836,366
-73.9789,40.7406,366
-73.9916,40.749,366
-74.0054,40.7511,366
-74.0071,40.7416,366
-74.0135,40.7155,366
-73.9558,40.7761,365
-73.9868,40.7212,365
-73.9902,40.7512,365
-73.9908,40.7346,365
-74.1772,40.6951,365
-73.9589,40.7638,364
-73.9676,40.7630,364
-74.0034,40.7325,364
-73.9824,40.7683,363
-73.9863,40.7304,363
-73.9908,40.7501,363
-74.005,40.7402,363
-73.9662,40.7648,362
-73.9987,40.7230,362
-74.0024,40.7501,362
-74.0026,40.7499,362
-74.0078,40.7515,362
-74.0098,40.7216,362
-73.8704,40.7725,361
-73.9540,40.7787,361
-73.9616,40.7795,361
-73.9915,40.7446,361
-74.0034,40.7362,361
-74.0047,40.7521,361
-73.9739,40.7642,360
-73.9880,40.7280,360
-73.9897,40.7471,360
-73.9527,40.7721,359
-73.9786,40.7448,359
-73.9818,40.7685,359
-73.9915,40.7491,359
-74.0055,40.7509,359
-73.9555,40.7766,358
-73.9824,40.7724,358
-73.9888,40.7412,358
-73.990,40.7514,358
-73.9917,40.7496,358
-73.9957,40.7489,358
-73.9959,40.7691,358
-73.9968,40.7253,358
-74.0056,40.7456,358
-74.0099,40.7212,358
-73.9522,40.7728,357
-73.9566,40.7669,357
-73.9635,40.7657,357
-73.9853,40.7317,357
-73.9866,40.7299,357
-73.9890,40.7479,357
-74.0027,40.7561,357
-74.0070,40.7415,357
-73.9544,40.7781,356
-73.9726,40.7809,356
-73.9732,40.7639,356
-73.9794,40.7529,356
-73.9916,40.7496,356
-73.9946,40.750,356
-73.9956,40.7593,356
-74.0015,40.7466,356
-74.0068,40.7415,356
-73.9541,40.7786,355
-73.9558,40.7762,355
-73.9919,40.7493,355
-73.9471,40.7799,354
-73.9637,40.7740,354
-73.9924,40.7492,354
-74.0001,40.7586,354
-74.0044,40.7423,354
-74.0052,40.7289,354
-74.0064,40.7393,354
-73.9729,40.7644,353
-73.9823,40.7312,353
-73.9871,40.7294,353
-73.9888,40.7482,353
-73.9905,40.7349,353
-73.9907,40.7561,353
-73.9937,40.7415,353
-74.0037,40.7475,353
-73.9550,40.7773,352
-73.9639,40.7737,352
-73.9732,40.7640,352
-73.9795,40.7528,352
-73.9821,40.7713,352
-73.9877,40.7212,352
-73.9889,40.7366,352
-73.9602,40.7619,351
-73.9824,40.7725,351
-73.9889,40.7413,351
-73.9908,40.7560,351
-73.9969,40.7252,351
-73.9999,40.7586,351
-74.0037,40.7420,351
-74.0047,40.7419,351
-74.0070,40.7416,351
-74.0101,40.7200,351
-73.9604,40.7696,350
-73.9783,40.7665,350
-73.9788,40.7667,350
-73.9820,40.7687,350
-73.990,40.7513,350
-73.9954,40.7440,350
-74.0026,40.7561,350
-74.0090,40.7161,350
-73.9,40.7638,349
-73.9878,40.7225,349
-73.9922,40.7436,349
-73.9937,40.7414,349
-74.0007,40.7576,349
-74.0042,40.7422,349
-74.0056,40.7410,349
-73.9522,40.7812,348
-73.9542,40.7640,348
-73.9589,40.7637,348
-73.9884,40.7274,348
-73.9900,40.7568,348
-73.9998,40.7345,348
-74.0025,40.7606,348
-74.0061,40.7403,348
-73.9911,40.7488,347
-73.9958,40.7692,347
-74.0051,40.7411,347
-74.0081,40.7381,347
-73.8722,40.7743,346
-73.9637,40.7742,346
-73.9885,40.7484,346
-73.9889,40.7230,346
-74.0079,40.7381,346
-73.8856,40.7732,345
-73.9558,40.7795,345
-73.9635,40.7744,345
-73.9763,40.7442,345
-73.9885,40.7314,345
-73.9904,40.7508,345
-73.9916,40.7272,345
-74.0056,40.7411,345
-73.7900,40.6468,344
-73.8712,40.7743,344
-73.9518,40.7734,344
-73.9549,40.7774,344
-73.9789,40.7405,344
-73.9870,40.7223,344
-73.9878,40.7382,344
-73.9889,40.7481,344
-73.9981,40.7406,344
-74.0008,40.7463,344
-74.0015,40.7555,344
-74.0039,40.7420,344
-73.9636,40.7743,343
-73.9672,40.7635,343
-73.9690,40.7852,343
-73.9915,40.749,343
-73.861,40.7681,342
-73.8702,40.7729,342
-73.9583,40.7728,342
-73.9620,40.7676,342
-73.9657,40.8053,342
-73.9715,40.7820,342
-73.9826,40.7233,342
-73.9826,40.7722,342
-73.9827,40.7716,342
-73.9915,40.7502,342
-73.9950,40.7501,342
-74.0053,40.7512,342
-73.872,40.7745,341
-73.9538,40.7789,341
-73.9553,40.7769,341
-73.9717,40.7820,341
-73.9886,40.7484,341
-73.9897,40.7416,341
-73.9910,40.7500,341
-73.9928,40.7427,341
-74.0073,40.7329,341
-73.9539,40.7787,340
-73.9546,40.7779,340
-73.9730,40.7643,340
-73.9756,40.7414,340
-73.9823,40.7725,340
-73.9837,40.7438,340
-73.9955,40.7492,340
